Time,Open,High,Low,Last,Change,%Chg,Volume
05/08/2019,157.26,158.09,156.65,156.76,-0.77,-0.49%,16113700
05/09/2019,155.52,156.65,153.74,156.19,-0.57,-0.36%,25259900
05/10/2019,155.59,156.83,153.67,156.62,0.43,+0.28%,26544600
05/13/2019,153.69,154.02,151.16,151.63,-4.99,-3.19%,26936400
05/14/2019,151.96,154.17,151.7,153.54,1.91,+1.26%,15519100
05/15/2019,152.4,154.41,152.0699,154.04,0.5,+0.33%,18410500
05/16/2019,154.51,156.175,154.44,155,0.96,+0.62%,13772100
05/17/2019,153.82,155.27,152.66,152.84,-2.16,-1.39%,21534400
05/20/2019,151.93,152.82,151.41,151.78,-1.06,-0.69%,18689800
05/21/2019,152.63,154.04,152.58,153.82,2.04,+1.34%,11659000
05/22/2019,153.22,153.59,152,152.53,-1.29,-0.84%,13922600
05/23/2019,151.06,151.06,148.58,149.39,-3.14,-2.06%,26379400
05/24/2019,150.37,151.09,149.79,150.79,1.4,+0.94%,15925000
05/28/2019,151.01,151.65,149.58,149.59,-1.2,-0.80%,14040400
05/29/2019,148.84,148.93,147.36,148.34,-1.25,-0.84%,22205400
05/30/2019,148.75,149.58,147.04,147.93,-0.41,-0.28%,17739100
